zone,hour,day_of_week,weather,road_condition,incident_count,risk_score,high_risk
2,4,2,0,0,4,2.9,0
4,1,5,1,0,2,1.4,0
2,18,3,0,0,3,2.1,0
1,23,1,1,2,4,2.9,0
1,19,5,1,2,5,3.6,0
0,1,3,1,1,3,2.1,0
1,1,0,0,0,6,4.3,0
1,21,0,1,1,2,1.4,0
1,23,1,3,2,7,5.0,0
4,22,3,1,1,6,4.3,0
0,19,0,0,2,3,2.1,0
3,17,6,0,0,2,1.4,0
0,19,5,3,1,0,0.0,0
0,20,4,2,1,6,4.3,0
0,13,3,3,1,0,0.0,0
2,14,1,3,1,3,2.1,0
3,11,3,0,0,1,0.7,0
2,10,2,1,2,5,3.6,0
4,10,2,1,2,2,1.4,0
4,6,0,2,0,7,5.0,0
5,11,2,2,2,9,6.4,1
5,15,1,2,1,3,2.1,0
4,4,0,2,0,4,2.9,0
4,1,1,3,2,7,5.0,0
2,21,5,3,0,0,0.0,0
4,15,1,1,0,3,2.1,0
3,22,2,3,2,10,7.1,1
2,14,5,1,2,3,2.1,0
4,10,2,1,0,1,0.7,0
2,5,1,1,0,1,0.7,0
2,12,2,1,2,5,3.6,0
1,18,2,0,0,0,0.0,0
5,9,2,1,2,6,4.3,0
2,23,3,3,0,4,2.9,0
0,18,5,3,0,0,0.0,0
2,4,5,3,0,3,2.1,0
0,20,6,3,2,3,2.1,0
1,6,5,0,1,1,0.7,0
4,10,6,2,2,10,7.1,1
2,13,1,2,0,3,2.1,0
1,22,6,1,1,4,2.9,0
3,20,6,1,1,4,2.9,0
1,15,4,3,0,1,0.7,0
5,17,1,3,2,4,2.9,0
5,20,5,2,1,7,5.0,0
4,22,0,2,1,7,5.0,0
0,22,2,3,2,8,5.7,0
4,3,2,1,2,6,4.3,0
0,0,4,0,1,4,2.9,0
0,21,0,0,2,2,1.4,0
0,14,3,2,1,6,4.3,0
0,13,6,2,0,6,4.3,0
5,18,1,2,2,11,7.9,1
5,4,3,0,1,1,0.7,0
2,3,0,0,2,6,4.3,0
5,12,4,3,2,2,1.4,0
4,17,0,1,1,0,0.0,0
5,11,4,2,0,8,5.7,0
4,22,3,3,1,3,2.1,0
3,20,3,0,2,2,1.4,0
5,14,0,3,1,1,0.7,0
4,22,0,0,2,9,6.4,1
0,8,6,1,1,2,1.4,0
1,3,2,0,0,7,5.0,0
0,4,4,3,0,0,0.0,0
2,8,2,1,0,2,1.4,0
4,12,1,0,0,3,2.1,0
0,9,1,2,1,5,3.6,0
5,15,0,0,0,1,0.7,0
5,12,3,1,1,3,2.1,0
3,3,1,3,2,7,5.0,0
1,20,1,1,2,5,3.6,0
4,12,2,3,2,5,3.6,0
0,20,2,0,0,0,0.0,0
1,7,6,0,0,2,1.4,0
3,12,6,1,0,2,1.4,0
2,14,1,2,2,6,4.3,0
1,19,0,0,2,4,2.9,0
3,19,2,2,2,11,7.9,1
4,12,1,2,2,8,5.7,0
2,22,3,1,1,3,2.1,0
5,4,2,0,1,2,1.4,0
3,21,1,2,0,5,3.6,0
5,21,6,0,0,4,2.9,0
2,5,4,3,2,5,3.6,0
3,4,2,2,1,6,4.3,0
3,12,4,1,1,3,2.1,0
2,4,2,1,0,1,0.7,0
4,12,2,2,1,6,4.3,0
3,23,6,0,0,4,2.9,0
2,19,5,3,2,5,3.6,0
1,22,5,3,2,7,5.0,0
5,7,4,1,0,1,0.7,0
3,8,0,1,2,2,1.4,0
1,20,1,0,2,7,5.0,0
3,18,0,1,1,3,2.1,0
4,19,0,0,1,4,2.9,0
2,14,5,2,1,8,5.7,0
3,21,1,3,1,2,1.4,0
2,9,5,2,1,6,4.3,0
0,10,5,1,0,4,2.9,0
3,4,6,3,0,0,0.0,0
4,8,5,3,1,1,0.7,0
4,10,3,2,2,10,7.1,1
1,18,0,0,2,7,5.0,0
4,1,6,3,0,4,2.9,0
2,5,6,0,0,4,2.9,0
0,22,0,2,0,8,5.7,0
4,20,6,2,2,7,5.0,0
