junction,hour,day_of_week,weather,temperature_c,vehicles,congestion_score,high_congestion
6,19,4,0,34.1,576,19.6,1
2,23,4,1,20.4,52,1.6,0
3,21,4,0,28.5,262,8.3,1
3,15,6,0,40.3,299,10.1,1
7,2,4,1,18.0,21,1.0,0
3,14,3,0,40.9,287,9.6,1
3,17,3,0,42.0,663,22.5,1
1,11,1,0,38.8,265,6.7,1
5,22,3,0,22.0,321,10.2,1
4,23,1,3,18.5,23,1.0,0
4,0,0,3,18.3,21,0.9,0
2,16,2,1,41.8,197,6.6,1
6,8,3,0,29.6,473,15.6,1
2,11,5,2,36.4,146,4.8,0
0,4,1,0,18.4,70,1.8,0
6,6,0,0,25.8,58,1.9,0
4,14,2,0,42.0,242,8.2,1
1,9,4,0,32.9,626,15.4,1
5,10,1,0,37.4,470,15.6,1
2,19,4,2,33.1,342,11.3,1
4,0,2,0,18.3,51,1.5,0
7,8,3,0,30.0,485,15.7,1
2,16,1,0,40.0,183,6.2,1
3,5,6,1,20.0,43,1.7,0
4,19,1,1,31.3,639,21.3,1
2,5,4,2,19.3,15,0.3,0
6,18,3,1,37.1,539,17.7,1
7,0,2,0,18.9,45,1.7,0
7,19,3,0,35.1,526,17.6,1
2,15,2,2,42.0,221,7.3,1
7,3,5,1,18.0,54,2.2,0
0,17,5,0,40.6,680,17.4,1
3,0,5,0,21.1,22,1.1,0
0,0,3,0,18.0,57,1.6,0
5,12,2,2,42.0,178,6.1,1
3,14,0,0,40.1,227,7.9,1
0,16,3,2,40.1,228,5.9,0
2,0,3,0,21.7,37,1.1,0
0,9,6,1,34.4,615,15.1,1
6,9,1,0,34.0,416,14.4,1
2,17,0,1,36.1,570,19.1,1
5,11,2,0,36.9,278,9.2,1
5,18,0,0,35.2,530,17.8,1
6,21,2,0,30.0,236,7.9,1
3,5,4,0,24.8,71,2.1,0
7,12,1,0,42.0,210,6.8,1
3,22,1,0,22.5,187,6.7,1
6,1,5,0,19.0,24,1.5,0
5,22,2,0,26.5,214,6.9,1
5,4,6,0,20.5,35,1.4,0
1,15,4,0,41.1,211,4.9,0
5,4,3,0,22.5,51,1.3,0
0,23,4,1,22.7,68,1.7,0
3,19,3,0,31.9,640,22.0,1
4,11,2,1,36.2,170,5.8,0
3,13,1,0,38.5,226,7.9,1
4,9,1,0,33.0,520,16.8,1
4,10,4,0,36.9,522,17.4,1
4,8,2,3,26.4,417,13.5,1
6,4,3,0,21.3,36,1.4,0
0,19,0,0,32.6,799,20.2,1
0,18,3,0,36.2,733,18.4,1
1,14,4,0,42.0,363,9.7,1
4,22,0,0,24.6,221,7.9,1
6,11,0,1,36.8,181,6.1,1
4,7,1,0,23.7,57,1.9,0
7,12,0,2,41.0,123,4.0,0
3,5,3,0,22.1,29,1.4,0
1,18,6,0,34.9,684,16.7,1
3,7,4,1,28.6,141,5.0,0
5,16,0,2,40.8,184,6.1,1
2,19,0,0,36.0,450,15.3,1
4,21,5,0,27.6,298,10.0,1
7,7,5,0,24.0,141,4.9,0
3,7,1,0,25.3,149,4.6,0
7,21,6,0,28.8,332,10.9,1
4,12,5,0,40.1,244,8.3,1
0,1,1,2,18.3,25,0.5,0
7,14,0,0,40.8,214,7.6,1
0,12,0,0,37.2,239,5.8,0
3,16,4,3,40.4,152,5.1,0
1,9,2,0,31.0,722,18.0,1
4,3,5,2,18.0,54,1.7,0
1,11,0,0,40.5,252,6.3,1
7,14,6,1,42.0,282,9.7,1
5,1,5,1,20.1,53,2.4,0
3,5,0,1,24.8,36,0.8,0
4,3,1,2,18.0,16,0.5,0
1,5,4,0,22.3,70,1.3,0
6,22,6,0,27.2,236,7.6,1
3,23,0,2,25.6,53,1.7,0
2,18,4,0,34.4,509,16.8,1
0,4,0,0,18.0,76,1.6,0
6,21,6,0,26.1,235,7.5,1
3,0,0,0,19.7,41,1.5,0
5,22,5,0,25.7,261,8.4,1
2,14,3,0,42.0,207,6.2,1
0,22,4,0,26.4,354,8.9,1
5,11,0,2,41.9,210,7.3,1
4,17,6,0,39.3,451,15.5,1
3,18,1,0,38.8,703,23.0,1
7,12,5,1,39.7,268,8.9,1
6,15,3,2,41.9,144,5.1,0
6,5,5,0,22.5,21,0.4,0
6,10,1,0,34.7,435,14.7,1
3,0,3,0,20.1,57,1.6,0
4,10,6,0,34.7,308,10.3,1
4,22,1,3,26.0,179,5.8,0
4,8,0,0,34.8,477,15.7,1
6,16,4,1,40.7,303,10.1,1
2,0,5,0,20.8,79,2.8,0
5,2,4,0,19.3,23,0.4,0
0,12,1,0,39.9,224,6.0,0
2,5,0,1,18.4,66,2.2,0
6,1,5,0,18.9,25,0.4,0
2,6,2,0,24.7,52,1.6,0
3,6,2,1,23.1,74,2.2,0
0,3,5,1,21.7,32,0.8,0
6,14,3,0,42.0,141,5.5,0
4,14,3,1,42.0,200,7.1,1
1,10,2,0,32.4,635,16.3,1
5,10,3,2,37.7,343,11.2,1
7,3,4,2,18.0,35,1.3,0
1,8,5,0,28.7,616,15.3,1
6,0,6,0,20.7,28,0.5,0
4,8,1,1,31.7,461,14.7,1
1,6,1,0,24.3,63,1.8,0
2,18,5,0,30.6,547,18.2,1
0,10,5,0,36.2,563,13.6,1
0,16,3,0,42.0,285,7.1,1
6,18,2,1,35.1,640,20.7,1
4,15,2,0,41.1,312,10.9,1
3,16,1,0,39.7,165,5.6,0
6,6,2,0,25.7,42,1.0,0
6,17,6,1,39.9,424,13.8,1
0,14,4,0,39.6,247,6.4,1
7,23,5,1,18.1,26,0.6,0
1,6,0,0,20.7,20,1.0,0
6,4,3,0,18.7,39,1.6,0
4,4,5,1,21.5,71,2.3,0
1,21,3,0,26.8,361,9.4,1
0,17,2,0,40.2,726,18.5,1
0,21,5,1,26.9,363,9.2,1
4,10,5,2,36.4,224,7.2,1
0,4,0,0,18.5,40,1.1,0
2,5,2,0,24.8,29,1.3,0
4,16,1,0,39.6,184,6.6,1
2,0,2,0,19.2,68,2.6,0
2,6,2,2,25.0,16,0.5,0
7,0,1,0,20.8,78,2.1,0
4,10,1,1,31.8,405,13.4,1
0,10,1,0,38.0,736,18.2,1
0,9,0,0,33.5,669,16.3,1
7,20,0,1,31.7,235,8.0,1
0,11,6,1,38.8,220,5.4,0
7,6,0,0,25.6,34,1.2,0
4,6,0,0,23.6,37,0.9,0
6,19,6,0,37.5,471,15.8,1
7,2,3,0,18.4,45,1.4,0
6,22,3,0,24.4,239,8.4,1
4,17,0,2,35.8,450,15.2,1
1,22,4,0,23.0,251,6.7,1
7,11,6,0,38.0,217,7.0,1
0,16,2,0,42.0,258,6.3,1
4,15,0,2,39.7,156,5.1,0
4,4,2,0,21.3,44,1.5,0
6,19,3,0,33.4,599,20.1,1
1,8,0,3,30.9,419,10.6,1
6,16,0,2,42.0,144,4.6,0
7,2,2,0,18.4,23,0.3,0
5,4,1,0,18.0,28,0.7,0
2,1,3,0,19.4,78,2.5,0
1,23,3,0,23.3,37,0.6,0
5,4,3,0,21.4,75,2.5,0
7,1,2,2,18.7,41,1.9,0
3,0,2,2,21.2,50,1.8,0
1,3,6,1,18.8,77,1.9,0
0,18,6,1,35.3,547,13.4,1
6,17,3,0,36.9,497,16.8,1
5,16,0,1,41.9,325,10.4,1
2,15,5,0,41.5,289,9.5,1
3,14,5,1,40.9,342,11.5,1
3,16,3,0,36.8,338,11.6,1
2,17,1,3,37.3,487,16.8,1
4,11,6,0,37.6,211,7.4,1
2,22,1,0,25.4,240,8.0,1
0,6,6,1,22.0,66,1.9,0
5,19,5,0,29.4,480,15.8,1
5,14,1,0,42.0,158,5.2,0
6,11,2,3,39.0,132,4.3,0
6,13,1,1,39.7,205,6.9,1
3,2,3,1,18.0,63,2.1,0
3,3,0,0,18.0,43,1.4,0
7,10,4,0,39.9,540,17.9,1
6,5,2,1,22.3,30,1.1,0
5,18,0,0,40.8,599,20.0,1
1,7,1,0,25.1,126,3.2,0
5,0,4,0,18.0,65,2.1,0
1,17,6,0,41.3,493,12.6,1
5,8,6,1,30.7,498,16.5,1
3,19,5,1,37.3,510,16.9,1
5,21,1,0,30.3,227,7.4,1
3,12,0,2,38.3,165,5.3,0
7,18,3,0,34.1,570,19.2,1
0,2,3,0,18.0,34,0.9,0
0,6,3,0,23.8,39,1.1,0
4,3,3,0,18.9,77,2.9,0
4,1,3,2,18.1,49,1.9,0
2,21,4,0,29.8,240,8.4,1
2,7,3,2,25.8,88,2.7,0
1,22,4,2,20.7,244,6.1,1
5,23,6,0,19.2,76,2.6,0
3,1,2,1,20.6,55,1.6,0
4,22,6,0,23.7,282,9.7,1
4,9,3,1,30.0,392,12.9,1
0,21,3,0,23.6,291,7.6,1
0,16,3,0,40.7,259,6.8,1
1,13,1,0,39.1,306,7.8,1
0,16,2,0,40.7,274,7.0,1
6,23,6,0,22.4,64,1.5,0
3,15,1,0,42.0,326,10.7,1
4,14,5,0,41.8,227,7.6,1
1,7,6,0,29.1,68,2.1,0
6,15,5,0,40.0,286,9.6,1
1,5,6,3,23.5,50,1.2,0
4,8,2,2,26.6,395,12.9,1
1,17,4,1,41.1,740,18.4,1
6,20,6,1,32.3,207,7.5,1
4,0,0,0,19.0,54,1.8,0
7,13,5,1,37.1,226,7.3,1
7,1,5,2,18.6,44,1.1,0
3,14,2,1,42.0,280,9.6,1
4,22,2,0,25.5,189,6.4,1
2,18,6,0,33.2,501,16.7,1
3,15,4,0,42.0,171,5.5,0
7,9,3,1,33.7,527,17.5,1
5,10,6,1,36.2,510,16.6,1
7,16,1,0,40.1,189,6.5,1
0,11,4,1,38.7,285,7.3,1
3,8,1,0,27.2,462,15.9,1
7,15,0,0,40.2,247,8.5,1
3,6,1,1,22.9,69,2.4,0
4,14,0,1,41.3,231,7.8,1
7,4,6,0,20.7,33,0.7,0
4,1,2,0,18.0,60,2.6,0
0,10,6,0,36.8,472,12.2,1
6,12,5,0,42.0,209,7.5,1
0,5,0,1,24.0,24,0.5,0
3,20,5,0,27.8,189,6.5,1
5,5,1,3,22.9,29,1.6,0
5,19,5,0,31.1,484,16.3,1
5,22,3,0,26.2,174,6.0,0
4,22,3,3,22.5,125,4.4,0
3,5,5,0,20.5,31,1.1,0
5,19,1,0,32.5,589,19.5,1
4,1,2,0,21.0,42,1.4,0
1,3,1,0,18.4,79,2.2,0
4,19,1,0,34.9,498,15.9,1
5,23,1,2,22.7,23,0.9,0
0,14,4,0,41.1,276,6.7,1
1,9,0,0,29.2,607,15.1,1
0,13,5,1,42.0,209,5.2,0
4,20,1,0,30.1,256,8.7,1
3,12,6,0,38.5,166,5.5,0
4,10,5,1,33.4,415,13.4,1
1,1,5,3,18.7,29,0.6,0
2,8,2,0,28.6,435,14.8,1
7,0,3,1,18.1,48,1.4,0
3,3,3,1,20.2,54,2.0,0
6,21,5,0,27.7,185,6.1,1
5,20,5,1,33.5,172,6.0,0
0,12,4,1,38.0,255,6.5,1
3,16,2,0,40.4,300,10.7,1
1,3,1,0,18.1,71,2.3,0
4,5,1,1,20.2,21,1.0,0
3,15,4,0,41.4,177,5.9,0
2,22,1,0,21.0,205,6.8,1
6,23,4,0,21.7,32,1.6,0
7,22,2,1,23.8,150,5.0,0
3,20,1,0,27.8,227,7.0,1
5,7,1,0,28.9,74,2.2,0
0,1,6,0,19.0,60,1.2,0
0,22,5,2,22.4,261,6.4,1
1,21,4,0,28.4,287,7.4,1
1,14,0,2,40.8,220,5.1,0
3,17,5,0,38.9,523,17.6,1
0,23,4,0,22.1,60,1.6,0
6,17,4,1,40.9,576,19.2,1
3,10,5,1,36.6,263,8.3,1
4,20,6,0,30.0,239,8.1,1
3,12,5,0,40.9,309,11.1,1
2,22,4,0,26.0,242,8.1,1
1,15,0,1,40.9,373,9.5,1
7,9,1,0,36.4,594,19.9,1
1,8,4,0,32.4,610,15.3,1
3,16,5,0,40.2,219,7.4,1
2,22,5,2,27.5,189,6.2,1
2,4,5,0,18.0,64,2.5,0
3,16,6,2,42.0,186,6.2,1
6,19,3,0,38.1,596,19.8,1
3,18,0,1,36.9,524,17.2,1
1,5,4,1,18.0,49,1.5,0
6,16,6,0,39.2,267,8.8,1
2,21,4,0,26.8,266,9.5,1
6,5,6,1,23.9,24,0.2,0
0,19,4,3,34.1,567,13.9,1
4,5,0,2,20.7,33,1.3,0
7,4,3,1,18.0,45,0.6,0
3,6,6,0,27.3,60,1.9,0
5,13,3,0,42.0,253,8.4,1
4,23,3,0,23.3,35,1.0,0
7,21,6,0,25.8,294,9.8,1
1,10,0,0,38.1,695,17.2,1
6,17,2,3,39.9,429,14.3,1
3,23,5,1,19.3,68,2.4,0
2,18,0,2,34.4,375,12.5,1
0,23,4,0,23.5,41,0.3,0
0,16,1,0,38.2,268,5.8,0
1,21,0,1,22.2,303,7.3,1
3,23,6,0,21.1,70,2.7,0
6,16,6,2,42.0,160,5.4,0
7,7,4,1,25.9,89,2.8,0
1,16,6,0,39.9,319,7.8,1
1,19,2,0,35.2,819,20.6,1
2,4,2,0,22.1,27,0.7,0
6,8,6,0,30.1,506,17.2,1
3,1,6,1,20.0,57,1.8,0
0,0,6,0,20.2,49,1.5,0
5,13,5,2,42.0,101,3.2,0
6,12,6,0,38.5,258,9.0,1
1,22,2,1,23.0,282,7.2,1
4,8,3,2,30.6,387,12.8,1
6,11,3,0,40.0,296,9.7,1
5,15,4,0,42.0,215,7.0,1
1,8,2,0,31.5,674,17.2,1
5,16,4,1,39.4,245,8.4,1
4,15,1,0,40.7,237,8.0,1
0,19,3,3,34.8,478,11.8,1
6,20,2,1,32.9,304,10.0,1
0,6,0,1,21.6,25,0.9,0
2,22,2,0,20.6,345,10.8,1
7,2,2,3,18.0,41,1.1,0
7,13,1,3,42.0,127,4.0,0
1,18,0,1,36.1,795,19.9,1
6,18,6,0,35.2,502,16.6,1
0,8,0,0,31.6,784,19.1,1
5,8,3,0,27.6,419,13.6,1
4,16,5,0,42.0,234,7.6,1
4,15,3,0,42.0,262,8.7,1
0,3,2,1,18.8,42,1.4,0
6,7,3,2,24.7,47,1.5,0
1,19,4,0,33.0,806,20.3,1
3,22,6,0,25.5,281,9.2,1
3,1,1,0,20.2,36,1.1,0
4,11,5,0,37.6,250,8.1,1
4,12,0,1,35.4,268,8.5,1
0,12,4,0,42.0,291,7.1,1
5,9,2,0,34.8,438,14.4,1
0,23,4,0,23.7,30,0.8,0
5,18,2,0,34.6,513,16.6,1
7,7,4,1,23.7,94,3.4,0
1,6,3,1,24.3,37,0.7,0
1,3,5,1,18.0,59,1.6,0
3,16,0,0,42.0,193,6.2,1
4,8,1,0,29.8,481,16.0,1
5,8,0,0,30.9,443,14.4,1
5,2,5,0,18.0,62,2.0,0
0,22,4,0,23.7,240,5.6,0
3,20,5,2,28.5,177,5.8,0
5,11,1,0,42.0,232,7.3,1
6,7,2,0,29.5,149,4.5,0
3,0,6,0,20.5,75,2.2,0
0,0,6,0,19.7,54,1.3,0
2,14,6,1,40.3,261,8.8,1
7,1,3,0,18.0,24,0.8,0
5,23,2,0,18.0,78,2.2,0
4,14,4,0,41.8,221,7.4,1
3,17,3,0,38.9,544,17.9,1
7,15,5,0,42.0,271,8.7,1
5,20,2,1,32.1,292,9.6,1
4,13,6,0,41.7,221,7.5,1
6,23,4,0,21.1,36,1.9,0
2,17,5,0,36.0,391,13.2,1
3,4,0,1,22.9,64,2.6,0
6,11,5,0,37.8,265,8.9,1
3,8,5,0,28.2,396,13.2,1
5,22,1,0,29.3,166,5.8,0
2,10,0,0,37.1,521,17.5,1
3,18,6,1,37.1,419,14.0,1
7,19,4,0,34.3,510,16.1,1
6,15,1,0,42.0,192,6.7,1
1,20,3,1,28.2,329,8.0,1
6,2,2,0,20.4,56,1.4,0
4,7,4,1,27.3,84,2.8,0
1,7,6,0,26.6,79,1.8,0
6,5,2,0,21.7,51,1.7,0
1,12,4,0,41.2,314,8.1,1
1,9,3,1,29.9,571,14.0,1
2,7,6,2,28.6,99,3.2,0
6,20,6,0,30.2,168,5.6,0
4,18,0,1,37.2,640,21.1,1
1,9,3,1,33.5,690,17.1,1
3,13,3,0,42.0,209,6.4,1
2,22,1,0,25.1,253,8.7,1
6,16,1,1,41.8,296,10.3,1
7,17,0,0,38.9,624,20.5,1
3,3,1,2,20.1,21,0.7,0
2,4,0,1,18.0,44,1.4,0
7,22,1,0,25.1,185,6.1,1
3,10,0,1,40.5,427,14.1,1
0,4,5,3,18.0,46,1.2,0
1,13,2,0,42.0,211,5.2,0
7,8,0,2,31.7,389,13.4,1
6,12,4,0,41.1,149,4.7,0
3,5,3,0,20.8,55,2.4,0
4,10,2,1,37.0,445,15.0,1
6,20,1,0,26.9,295,9.5,1
3,13,1,0,39.9,194,6.8,1
3,23,4,0,21.6,39,1.5,0
6,15,6,0,40.1,269,9.0,1
0,1,4,0,18.6,31,1.2,0
7,15,2,1,42.0,252,8.4,1
7,10,0,1,34.1,539,17.8,1
7,2,4,0,18.0,79,2.1,0
6,11,1,0,42.0,218,7.4,1
7,21,0,0,28.4,211,7.5,1
0,9,2,0,33.8,661,16.4,1
3,10,2,1,35.7,590,19.8,1
0,14,6,1,39.8,266,6.6,1
2,1,6,0,19.7,37,1.3,0
5,9,5,0,30.3,356,11.8,1
4,17,2,0,37.0,585,19.6,1
3,15,2,3,38.4,164,5.6,0
2,22,6,0,25.1,243,8.3,1
2,10,4,3,35.8,316,10.7,1
3,14,5,1,40.1,330,11.1,1
5,21,3,0,24.4,249,8.5,1
7,15,2,0,40.5,186,5.8,0
1,3,0,0,25.4,68,1.3,0
2,19,3,1,29.4,609,20.6,1
3,19,4,0,30.7,630,21.2,1
4,19,3,0,34.1,545,18.4,1
0,16,5,2,37.3,175,5.0,0
2,11,1,1,38.0,225,7.2,1
7,4,4,1,18.0,60,2.1,0
7,18,6,0,33.2,478,16.3,1
0,2,6,1,18.0,48,1.5,0
7,23,1,1,18.0,75,2.9,0
3,22,4,0,24.7,245,8.0,1
5,5,4,1,20.4,39,1.1,0
2,18,5,1,38.4,508,17.2,1
6,17,5,0,40.2,561,18.9,1
5,15,2,3,38.8,164,5.3,0
5,20,0,0,33.0,219,7.1,1
1,8,0,3,26.8,452,11.5,1
4,4,5,1,18.0,60,2.2,0
6,23,1,1,20.9,66,2.7,0
6,6,4,2,25.7,19,0.4,0
4,5,5,1,23.0,20,1.0,0
0,2,1,0,19.4,68,2.0,0
2,10,3,0,37.0,571,19.4,1
6,3,2,0,19.0,38,1.8,0
4,0,4,1,19.1,54,1.9,0
2,11,2,2,39.6,136,4.8,0
1,23,5,1,20.2,74,2.1,0
2,17,6,2,38.6,298,9.7,1
4,11,0,2,40.5,220,7.3,1
7,0,5,0,22.1,49,1.3,0
6,6,3,3,25.4,23,1.0,0
6,18,5,1,35.9,389,12.9,1
1,5,1,0,24.5,39,0.8,0
0,16,2,0,40.7,365,8.9,1
2,15,1,0,42.0,226,7.6,1
6,14,5,0,42.0,231,7.5,1
2,14,1,0,42.0,321,10.4,1
7,5,0,0,25.8,41,1.1,0
